Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,
2018-01-01 to 2018-07-31,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18
Journal of Clinical Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-4679,JCLP,0021-9762,1097-4679,219,85,134,19,35,27,44,46,20,28
Journal of Clinical Ultrasound,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0096,JCU,0091-2751,1097-0096,79,19,60,7,12,7,17,13,12,11
Journal of College Counseling,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2161-1882,JOCC,1099-0399,2161-1882,19,7,12,1,2,7,6,0,0,3
Journal of Combinatorial Designs,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6610,JCD,1063-8539,1520-6610,3,0,3,0,0,0,1,0,1,1
Journal of Communication,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1460-2466,JCOM,0021-9916,1460-2466,656,363,293,57,247,150,84,73,26,19
Journal of Community & Applied Social Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1298,CASP,1052-9284,1099-1298,45,13,32,4,5,7,7,13,4,5
Journal of Community Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6629,JCOP,0090-4392,1520-6629,105,36,69,9,7,11,39,22,8,9
Journal of Comparative Neurology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9861,CNE,0021-9967,1096-9861,1504,485,1019,238,269,230,199,245,171,152
Journal of Comparative Neurology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1550-7130,CNE,0092-7317,1550-7130,3,0,3,1,0,0,0,0,0,2
Journal of Comparative Neurology and Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1550-7149,CNE,0092-7015,1550-7149,0,0,0,0,0,0,0,0,0,0
Journal of Computational Chemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-987X,JCC,0192-8651,1096-987X,392,144,248,60,57,68,39,72,41,55
Journal of Computer Assisted Learning,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2729,JCAL,0266-4909,1365-2729,51,24,27,0,5,20,11,9,6,0
Journal of Computer-Mediated Communication,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1083-6101,JCC4,1083-6101,1083-6101,354,235,119,97,92,52,58,27,16,12
Journal of Consumer Affairs,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-6606,JOCA,0022-0078,1745-6606,136,66,70,11,27,18,43,27,8,2
Journal of Consumer Behaviour,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1479-1838,CB,1472-0817,1479-1838,107,53,54,9,10,35,23,17,4,9
Journal of Consumer Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1532-7663,JCPY,1057-7408,1532-7663,162,69,93,6,3,23,39,53,7,31
Journal of Consumer Studies & Home Economics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1470-6431a,IJCS,0309-3891,1470-6431,12,1,11,1,0,0,3,3,2,3
Journal of Contemporary Water Research & Education,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1936-704X,JCWR,1936-7031,1936-704X,14,6,8,3,1,2,4,1,2,1
Journal of Contingencies and Crisis Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-5973,JCCM,0966-0879,1468-5973,32,14,18,7,12,0,7,3,0,3
Journal of Continuing Education in the Health Professions,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1554-558X,CHP,0894-1912,1554-558X,38,15,23,3,1,4,11,13,3,3
Journal of Corporate Accounting & Finance,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0053,JCAF,1044-8136,1097-0053,7,1,6,2,2,1,1,0,1,0
Journal of Cosmetic Dermatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1473-2165,JOCD,1473-2130,1473-2165,138,74,64,26,28,24,14,14,18,14
Journal of Counseling & Development,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-6676,JCAD,0748-9633,1556-6676,40,6,34,2,6,17,4,2,2,7
Journal of Counseling & Development,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-6678, ,0748-9633,1556-6676,0,0,0,0,0,0,0,0,0,0
Journal of Cutaneous Immunology and Allergy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2574-4593,CIA2,2574-4593,2574-4593,0,0,0,0,0,0,0,0,0,0
Journal of Cutaneous Pathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0560,CUP,0303-6987,1600-0560,301,126,175,45,83,40,37,22,30,44
Journal of Diabetes,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-0407,JDB,1753-0393,1753-0407,57,25,32,13,6,5,13,5,11,4
Journal of Diabetes Investigation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2040-1124,JDI,2040-1116,2040-1124,69,30,39,15,10,17,8,5,9,5
Journal of Digestive Diseases,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1751-2980,CDD,1751-2972,1751-2980,38,20,18,6,8,6,2,6,3,7
Journal of Direct Marketing,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-7138,DIR,0892-0591,1522-7138,0,0,0,0,0,0,0,0,0,0
Journal of Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2745,JEC,0022-0477,1365-2745,692,399,293,86,178,130,122,51,62,63
Journal of Economic Surveys,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6419,JOES,0950-0804,1467-6419,131,59,72,21,15,23,28,27,6,11
Journal of Economics & Management Strategy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1530-9134,JEMS,1058-6407,1530-9134,82,33,49,6,7,11,18,21,12,7
Journal of Educational Measurement,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-3984,JEDM,0022-0655,1745-3984,16,7,9,1,3,0,4,2,4,2
Journal of Electron Microscopy Technique,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1553-0817,JEMT,0741-0581,1553-0817,17,0,17,3,3,1,3,3,1,3
Journal of Electrophysiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-8167a,JCE,0892-1059,1540-8167,0,0,0,0,0,0,0,0,0,0
Journal of Empirical Legal Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1740-1461,JELS,1740-1453,1740-1461,194,126,68,29,11,44,12,65,26,7
Journal of Employment Counseling,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2161-1920,JOEC,0022-0787,2161-1920,8,6,2,0,2,0,2,2,2,0
Journal of Engineering Education,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2168-9830,JEE,1069-4730,2168-9830,86,37,49,8,14,16,14,23,7,4
"Journal of Entomology Series A, General Entomology",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-3032a,PHEN,0047-2409,1365-3032,0,0,0,0,0,0,0,0,0,0
"Journal of Entomology Series B, Taxonomy",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-3113a,SYEN,0047-2417,1365-3113,1,0,1,0,0,0,1,0,0,0
Journal of Environmental Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1301,JEM,1095-1539,1099-1301,0,0,0,0,0,0,0,0,0,0
Journal of Environmental Policy and Planning,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-7200,JEPP,1523-908X,1522-7200,0,0,0,0,0,0,0,0,0,0
Journal of Esthetic and Restorative Dentistry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1708-8240,JERD,1496-4155,1708-8240,7,2,5,0,0,2,3,1,1,0
Journal of Eukaryotic Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1550-7408,JEU,1066-5234,1550-7408,97,40,57,12,21,10,13,27,2,12
Journal of Evaluation in Clinical Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2753,JEP,1356-1294,1365-2753,123,69,54,6,23,22,15,28,20,9
Journal of Evidence-Based Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1756-5391,JEBM,1756-5391,1756-5391,13,8,5,2,1,1,6,2,1,0
Journal of Evolutionary Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1420-9101,JEB,1010-061X,1420-9101,956,464,492,149,133,249,148,122,86,69
Journal of Experimental Therapeutics and Oncology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1533-869X,JET,1359-4117,1533-869X,0,0,0,0,0,0,0,0,0,0
Journal of Experimental Zoology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-010X,JEZ,0022-104X,1097-010X,144,19,125,8,18,27,38,21,18,14
Journal of Experimental Zoology Part A: Comparative Experimental Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-499X,JEZ,1548-8969,1552-499X,10,1,9,1,0,3,2,3,0,1
Journal of Experimental Zoology Part A: Ecological and Integrative Physiology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2471-5646,JEZ,2471-5638,2471-5646,21,6,15,5,0,4,0,5,6,1
Journal of Experimental Zoology Part A: Ecological Genetics and Physiology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-5231,JEZ,1932-5223,1932-5231,39,20,19,4,8,6,5,6,1,9
Journal of Experimental Zoology Part B: Molecular and Developmental Evolution,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1552-5015,JEZB,1552-5007,1552-5015,100,40,60,14,15,28,14,11,6,12
Journal of Family Theory & Review,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1756-2589,JFTR,1756-2570,1756-2589,66,34,32,5,11,22,7,14,4,3
Journal of Family Therapy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6427,JOFT,0163-4445,1467-6427,22,2,20,4,1,3,6,6,0,2
Journal of Field Ornithology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1557-9263,JOFO,0273-8570,1557-9263,225,127,98,27,29,25,59,39,30,16
Journal of Field Robotics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1556-4967,ROB,1556-4959,1556-4967,75,37,38,20,8,13,10,11,5,8
Journal of Financial Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1475-6803,JFIR,0270-2592,1475-6803,23,11,12,4,4,1,1,7,4,2
Journal of Fish Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1095-8649,JFB,0022-1112,1095-8649,257,106,151,24,44,42,54,31,31,31
Journal of Fish Diseases,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2761,JFD,0140-7775,1365-2761,158,75,83,8,26,64,24,8,13,15
Journal of Flood Risk Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1753-318X,JFRM,1753-318X,1753-318X,75,41,34,1,7,24,12,8,12,11
Journal of Food Biochemistry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4514,JFBC,0145-8884,1745-4514,61,24,37,3,14,5,12,15,6,6
Journal of Food Lipids,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4522,JFL,1065-7258,1745-4522,2,0,2,0,1,0,1,0,0,0
Journal of Food Process Engineering,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4530,JFPE,0145-8876,1745-4530,101,30,71,7,22,14,24,22,5,7
Journal of Food Processing and Preservation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4549,JFPP,0145-8892,1745-4549,176,70,106,22,39,49,26,12,14,14
Journal of Food Quality,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4557,JFQ,0146-9428,1745-4557,76,16,60,9,6,13,18,20,3,7
Journal of Food Safety,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4565,JFS,0149-6085,1745-4565,72,22,50,23,7,6,13,10,6,7
Journal of Food Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1750-3841,JFDS,0022-1147,1750-3841,1655,479,1176,233,230,257,309,304,164,158
Journal of Food Science Education,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1541-4329,JFS3,1541-4329,1541-4329,43,28,15,6,15,3,13,2,1,3
Journal of Foodservice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1748-0159,FRI,1748-0140,1748-0159,1,1,0,0,0,0,1,0,0,0
Journal of Forecasting,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-131X,FOR,0277-6693,1099-131X,39,10,29,1,4,6,12,10,3,3
Journal of Forensic Nursing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1939-3938,JFN,1556-3693,1939-3938,0,0,0,0,0,0,0,0,0,0
Journal of Forensic Sciences,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1556-4029,JFO,0022-1198,1556-4029,160,66,94,19,27,30,34,20,15,15
Journal of Futures Markets,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9934,FUT,0270-7314,1096-9934,31,8,23,0,4,2,4,10,7,4
Journal of Gastroenterology and Hepatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1746,JGH,0815-9319,1440-1746,321,132,189,49,38,46,72,52,35,29
Journal of General and Family Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2189-7948,JGF2,2189-7948,2189-7948,7,4,3,0,1,1,4,0,1,0
Journal of General Internal Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1525-1497,JGI,0884-8734,1525-1497,112,83,29,7,46,16,13,12,9,9
Journal of Geophysical Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2156-2202,JGR,0148-0227,2156-2202,233,22,211,12,36,34,49,62,21,19
Journal of Geophysical Research: Atmospheres,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2156-2202d,JGRD,0148-0227,2156-2202,594,236,358,35,73,77,160,147,61,41
Journal of Geophysical Research: Atmospheres,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2169-8996,JGRD,2169-897X,2169-8996,431,189,242,34,93,49,84,67,65,39
Journal of Geophysical Research: Biogeosciences,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2156-2202g,JGRG,0148-0227,2156-2202,93,58,35,6,16,9,22,10,24,6
Journal of Geophysical Research: Biogeosciences,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2169-8961,JGRG,2169-8953,2169-8961,159,85,74,14,8,29,40,27,19,22
Journal of Geophysical Research: Earth Surface,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2156-2202f,JGRF,0148-0227,2156-2202,55,34,21,2,14,14,9,6,5,5
Journal of Geophysical Research: Earth Surface,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2169-9011,JGRF,2169-9003,2169-9011,145,61,84,13,8,42,16,32,20,14
Journal of Geophysical Research: Oceans,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2156-2202c,JGRC,0148-0227,2156-2202,207,67,140,11,29,41,32,48,25,21
Journal of Geophysical Research: Oceans,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2169-9291,JGRC,2169-9275,2169-9291,112,41,71,13,12,16,11,9,18,33
Journal of Geophysical Research: Planets,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2156-2202e,JGRE,0148-0227,2156-2202,233,77,156,40,15,38,51,37,28,24
Journal of Geophysical Research: Planets,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2169-9100,JGRE,2169-9097,2169-9100,217,79,138,20,33,34,37,32,19,42
Journal of Geophysical Research: Solid Earth,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2156-2202b,JGRB,0148-0227,2156-2202,814,284,530,108,52,134,112,175,130,103
Journal of Geophysical Research: Solid Earth,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2169-9356,JGRB,2169-9313,2169-9356,644,311,333,130,102,79,96,89,78,70
Journal of Geophysical Research: Space Physics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2156-2202a,JGRA,0148-0227,2156-2202,200,59,141,17,19,62,39,25,22,16
Journal of Geophysical Research: Space Physics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2169-9402,JGRA,2169-9380,2169-9402,206,83,123,20,27,58,40,25,25,11
Journal of Graph Theory,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0118,JGT,0364-9024,1097-0118,48,8,40,0,4,3,9,4,7,21
Journal of Healthcare Risk Management,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2040-0861,JHRM,1074-4797,2040-0861,15,4,11,5,3,1,1,0,0,5
Journal of Hepato-Biliary-Pancreatic Sciences,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1868-6982,JHBP,1868-6974,1868-6982,60,33,27,12,12,11,11,6,5,3
Journal of Hepato-Biliary-Pancreatic Surgery,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1868-6982a,JHBP,0944-1166,1868-6982,13,11,2,4,1,1,3,2,0,2
Journal of Heterocyclic Chemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1943-5193,JHET,0022-152X,1943-5193,174,16,158,11,24,18,45,26,21,29
Journal of High Resolution Chromatography,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4168,2259,0935-6304,1521-4168,1,0,1,0,0,0,0,0,0,1
Journal of Historical Sociology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6443,JOHS,0952-1909,1467-6443,56,18,38,3,4,7,11,8,10,13
Journal of Hospital Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1553-5606,JHM,1553-5592,1553-5606,199,110,89,70,29,26,25,15,18,16
Journal of Human Nutrition and Dietetics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-277X,JHN,0952-3871,1365-277X,150,69,81,7,18,37,19,30,25,14
Journal of Image Guided Surgery,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-712X,IGS,1078-7844,1522-712X,0,0,0,0,0,0,0,0,0,0
Journal of Industrial Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1530-9290,JIEC,1088-1980,1530-9290,315,152,163,26,52,129,60,14,10,24
Journal of Integrative Plant Biology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-7909,JIPB,1672-9072,1744-7909,278,128,150,36,49,33,53,38,39,30
Journal of Intellectual Disability Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2788,JIR,0964-2633,1365-2788,130,80,50,33,30,33,13,8,9,4
Journal of Intensive Care Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1525-1489,JIC,0885-0666,1525-1489,1,0,1,0,0,0,0,1,0,0
Journal of Interactive Marketing,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6653,DIR,1094-9968,1520-6653,15,7,8,0,1,3,5,3,3,0
Journal of Interamerican Studies and World Affairs,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-2456a,LAPS,0022-1937,1548-2456,0,0,0,0,0,0,0,0,0,0
Journal of Interdisciplinary Nanomedicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2058-3273,JIN2,2058-3273,2058-3273,1,1,0,0,0,0,0,0,0,1
Journal of Interior Design,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1939-1668,JOID,1071-7641,1939-1668,45,14,31,8,15,3,1,4,3,11
Journal of Internal Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2796,JOIM,0954-6820,1365-2796,337,160,177,28,59,95,48,32,34,41
Journal of International Development,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1328,JID,0954-1748,1099-1328,151,57,94,10,32,14,30,45,10,10
Journal of International Financial Management & Accounting,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-646X,JIFM,0954-1314,1467-646X,2,0,2,0,1,0,0,1,0,0
Journal of Interventional Cardiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-8183,JOIC,0896-4327,1540-8183,36,16,20,9,2,13,0,2,7,3
Journal of Investigative and Clinical Dentistry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2041-1626,JICD,2041-1618,2041-1626,3,1,2,1,0,0,0,0,0,2
Journal of Investigative Psychology and Offender Profiling,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1544-4767,JIP,1544-4759,1544-4767,9,6,3,0,2,2,0,1,2,2
Journal of Labelled Compounds,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1344a,JLC,0022-2135,1099-1344,4,0,4,0,0,2,1,1,0,0
Journal of Labelled Compounds and Radiopharmaceuticals,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1344,JLC,0362-4803,1099-1344,175,23,152,24,25,24,34,30,20,18
Journal of Labor and Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2471-4607,WUSA,2471-4607,2471-4607,8,4,4,3,2,1,0,0,2,0
Journal of Latin American Anthropology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-7180a,JLCA,1085-7052,1548-7180,10,2,8,0,0,3,0,7,0,0
Journal of Law and Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6478,JOLS,0263-323X,1467-6478,47,4,43,3,1,8,6,22,2,5
Journal of Leadership Studies,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1935-262X,JLS,1935-2611,1935-262X,23,4,19,1,4,4,5,2,2,5
Journal of Legal Studies Education,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1744-1722,JLSE,0896-5811,1744-1722,2,0,2,0,1,0,1,0,0,0
Journal of Leukocyte Biology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1938-3673,JLB,0741-5400,1938-3673,562,236,326,47,81,86,97,72,100,79
Journal of Leukocyte Biology,John Wiley and Sons,Wiley Online Library,10.1189/(ISSN)1938-3673,JLB,0741-5400,1938-3673,0,0,0,0,0,0,0,0,0,0
Journal of Linguistic Anthropology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1548-1395,JOLA,1055-1360,1548-1395,51,23,28,4,5,3,12,18,4,5
Journal of Lower Genital Tract Disease,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1526-0976,JLG,1089-2591,1526-0976,0,0,0,0,0,0,0,0,0,0
Journal of Magnetic Resonance Imaging,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-2586,JMRI,1053-1807,1522-2586,994,335,659,142,149,132,183,140,113,135
Journal of Management Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6486,JOMS,0022-2380,1467-6486,354,123,231,44,94,33,73,46,28,36
Journal of Marital and Family Therapy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1752-0606,JMFT,0194-472X,1752-0606,51,29,22,5,9,9,16,6,1,5
Journal of Marriage and Family,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1741-3737,JOMF,0022-2445,1741-3737,754,380,374,105,82,153,98,108,127,81
Journal of Mass Spectrometry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9888c,JMS,1076-5174,1096-9888,128,35,93,34,11,20,20,22,13,8
Journal of Mathematics and Physics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9590a,SAPM,0097-1421,1467-9590,0,0,0,0,0,0,0,0,0,0
Journal of Medical Imaging and Radiation Oncology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1754-9485,ARA,1754-9477,1754-9485,44,21,23,6,5,2,11,6,6,8
Journal of Medical Primatology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-0684,JMPL,0047-2565,1600-0684,57,15,42,7,4,7,20,4,8,7
Journal of Medical Radiation Sciences,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2051-3909,JMRS,2051-3895,2051-3909,10,9,1,1,0,1,0,6,1,1
Journal of Medical Virology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9071,JMV,0146-6615,1096-9071,141,45,96,23,21,21,16,11,28,21
Journal of Metamorphic Geology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1525-1314,JMG,0263-4929,1525-1314,23,5,18,1,1,3,5,6,3,4
Journal of Microcolumn Separations,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-667X,MCS,1040-7685,1520-667X,1,0,1,0,0,0,0,0,0,1
Journal of Microscopy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2818,JMI,0022-2720,1365-2818,565,176,389,45,46,107,105,93,103,66
Journal of Midwifery & Women's Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1542-2011,JMWH,1526-9523,1542-2011,103,59,44,14,4,24,18,18,15,10
Journal of Molecular Recognition,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1352,JMR,0952-3499,1099-1352,70,22,48,13,12,13,9,12,4,7
"Journal of Money, Credit and Banking",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1538-4616,JMCB,0022-2879,1538-4616,56,25,31,4,6,9,8,12,7,10
Journal of Morphology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-4687,JMOR,0362-2525,1097-4687,252,50,202,19,37,51,34,36,39,36
Journal of Multi-Criteria Decision Analysis,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1360,MCDA,1057-9214,1099-1360,1,0,1,0,0,0,0,0,0,1
Journal of Multicultural Counseling and Development,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2161-1912,JMCD,0883-8534,2161-1912,16,4,12,0,4,2,3,2,5,0
Journal of Muscle Foods,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4573,JMF,1046-0756,1745-4573,6,3,3,1,0,1,0,4,0,0
Journal of Neurobiology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-4695,NEU,0022-3034,1097-4695,127,17,110,5,8,31,22,37,13,11
Journal of Neurochemistry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1471-4159,JNC,0022-3042,1471-4159,1663,744,919,285,300,236,207,252,169,214
Journal of Neuroendocrinology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2826,JNE,0953-8194,1365-2826,187,90,97,24,31,43,24,32,24,9
Journal of Neuroimaging,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1552-6569,JON,1051-2284,1552-6569,96,42,54,15,11,11,10,21,14,14
Journal of Neuropsychology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1748-6653,JNP,1748-6645,1748-6653,9,5,4,1,1,1,1,2,1,2
Journal of Neuroscience Research,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-4547,JNR,0360-4012,1097-4547,504,213,291,78,93,56,80,90,49,58
Journal of Non-White Concerns in Personnel and Guidance,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2164-4950,JMCD,0090-5461,2164-4950,0,0,0,0,0,0,0,0,0,0
Journal of Nurse-Midwifery,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1879-1565,JMWH,0091-2182,1879-1565,5,3,2,0,0,3,0,0,0,2
