Journal Report 5 (R4),Number of Successful Full-Text Article Requests by Year-of-Publication (YOP) and Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01 to 2017-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Articles In Press   ,YOP 2017            ,YOP 2016            ,YOP 2015            ,YOP 2014            ,YOP 2013            ,YOP 2012            ,YOP 2011            ,YOP 2010            ,YOP 2009            ,YOP 2008            ,YOP 2007            ,YOP 2006            ,YOP 2005            ,YOP 2004            ,YOP 2003            ,YOP 2002            ,YOP 2001            ,YOP 2000            ,YOP 1999            ,YOP 1998            ,YOP 1997            ,YOP 1996            ,YOP 1995            ,YOP 1994            ,YOP 1993            ,YOP 1992            ,YOP 1991            ,YOP 1990            ,YOP Pre 1990        
Journal of Phytopathology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1439-0434,JPH                 ,0931-1785    ,1439-0434    ,6,33,29,13,11,15,17,31,9,11,2,11,7,2,6,8,9,9,8,6,1,2,3,0,0,0,0,0,0,0
Journal of Pineal Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-079X,JPI                 ,0742-3098    ,1600-079X    ,25,26,12,25,15,17,13,7,2,2,12,11,7,3,2,5,1,3,3,1,1,0,0,1,1,2,0,1,2,4
Journal of Plant Nutrition and Soil Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1522-2624,JPLN                ,1436-8730    ,1522-2624    ,28,30,11,16,8,8,7,12,3,11,10,2,4,7,6,8,7,5,4,4,0,0,0,0,0,0,0,0,0,0
Journal of Policy Analysis and Management,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6688,PAM                 ,0276-8739    ,1520-6688    ,50,135,66,57,82,51,17,32,8,6,19,7,5,7,9,4,6,5,4,1,2,1,2,0,0,0,0,0,0,0
Journal of Policy and Practice in Intellectual Disabilities,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1741-1130,JPPI                ,1741-1122    ,1741-1130    ,0,3,3,16,7,2,2,2,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Political Philosophy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9760,JOPP                ,0963-8016    ,1467-9760    ,13,19,11,16,3,4,4,5,1,1,0,4,165,4,6,6,7,5,1,4,1,6,0,0,0,0,0,0,0,0
Journal of Politics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-2508,JOPO                ,0022-3816    ,1468-2508    ,0,0,0,0,0,0,0,0,0,0,0,6,50,13,21,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0
Journal of Polymer Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-6238,POL                 ,0022-3832    ,1542-6238    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
Journal of Polymer Science Part A-1: Polymer Chemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-9350,POL                 ,0449-296X    ,1542-9350    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Journal of Polymer Science Part A-2: Polymer Physics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-9377,POL                 ,0449-2978    ,1542-9377    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Journal of Polymer Science Part A: General Papers,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-6246,POL                 ,0449-2951    ,1542-6246    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Journal of Polymer Science Part A: Polymer Chemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0518,POLA                ,0887-624X    ,1099-0518    ,207,271,144,101,73,150,133,107,150,116,136,79,94,96,83,49,82,39,106,33,15,16,11,10,14,23,15,4,20,36
Journal of Polymer Science Part B: Polymer Letters,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-6254,POL                 ,0449-2986    ,1542-6254    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
Journal of Polymer Science Part B: Polymer Physics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0488,POLB                ,0887-6266    ,1099-0488    ,35,94,130,54,65,49,20,25,18,19,25,29,26,58,37,40,21,17,25,12,3,5,8,9,23,0,9,7,10,40
Journal of Polymer Science Part C: Polymer Letters,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1543-0472,POL                 ,0887-6258    ,1543-0472    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
Journal of Polymer Science Part C: Polymer Symposia,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1935-3065,POLC                ,0449-2994    ,1935-3065    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
Journal of Polymer Science: Macromolecular Reviews,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1543-0480,POL                 ,0076-2083    ,1543-0480    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Journal of Polymer Science: Polymer Chemistry Edition,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-9369,POL                 ,0360-6376    ,1542-9369    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
Journal of Polymer Science: Polymer Letters Edition,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1543-0472a,POL                 ,0360-6384    ,1543-0472    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Journal of Polymer Science: Polymer Physics Edition,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1542-9385,POL                 ,0098-1273    ,1542-9385    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
Journal of Polymer Science: Polymer Symposia,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1936-0959,POLC                ,0360-8905    ,1936-0959    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Journal of Popular Music Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1533-1598,JPMS                ,1524-2226    ,1533-1598    ,1,20,27,12,9,19,18,12,12,8,6,0,8,14,2,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0
Journal of Porphyrins and Phthalocyanines,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1409,JPP                 ,1088-4246    ,1099-1409    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0
Journal of Product Innovation Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5885,JPIM                ,0737-6782    ,1540-5885    ,5,21,3,18,7,5,22,10,0,6,0,8,7,1,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Journal of Prosthodontics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1532-849X,JOPR                ,1059-941X    ,1532-849X    ,16,8,1,0,4,1,0,1,0,1,4,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Journal of Psychiatric and Mental Health Nursing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2850,JPM                 ,1351-0126    ,1365-2850    ,5,17,7,19,10,11,6,13,4,11,10,9,11,4,0,4,7,5,6,6,2,0,1,0,0,0,0,0,0,0
Journal of Psychological Issues in Organizational Culture,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2041-8426,JPOC                ,2041-8418    ,2041-8426    ,0,0,8,2,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Public Affairs,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1479-1854,PA                  ,1472-3891    ,1479-1854    ,2,1,9,13,2,11,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Public Economic Theory,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9779,JPET                ,1097-3923    ,1467-9779    ,1,5,4,8,1,4,0,2,3,0,1,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Public Health Dentistry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1752-7325,JPHD                ,0022-4006    ,1752-7325    ,30,9,1,2,0,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Quaternary Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1417,JQS                 ,0267-8179    ,1099-1417    ,6,17,4,2,6,6,4,9,2,3,1,0,1,3,3,0,1,0,1,1,4,2,1,0,0,0,0,5,1,2
Journal of Raman Spectroscopy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-4555,JRS                 ,0377-0486    ,1097-4555    ,30,25,39,16,26,25,19,16,12,19,4,13,4,13,9,4,7,3,4,5,1,2,1,0,0,0,0,0,0,0
Journal of Rapid Methods & Automation in Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4581,JRM                 ,1060-3999    ,1745-4581    ,0,0,0,0,0,0,0,0,0,3,14,1,30,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Journal of Regional Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9787,JORS                ,0022-4146    ,1467-9787    ,8,18,21,10,16,11,17,15,16,4,8,5,3,5,4,2,3,1,3,2,1,1,0,0,0,0,0,1,0,0
Journal of Religious Ethics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9795,JORE                ,0384-9694    ,1467-9795    ,0,10,18,2,7,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Religious History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9809,JORH                ,0022-4227    ,1467-9809    ,0,6,5,4,1,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Renal Care,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6686,JORC                ,1755-6678    ,1755-6686    ,4,10,8,3,1,11,1,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Research in Reading,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9817,JRIR                ,0141-0423    ,1467-9817    ,3,0,0,0,1,0,0,2,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Research in Science Teaching,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2736,TEA                 ,0022-4308    ,1098-2736    ,23,28,28,32,16,21,11,7,6,1,9,9,0,2,2,8,8,10,4,3,0,5,1,5,2,3,4,5,4,32
Journal of Research in Special Educational Needs,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1471-3802,JRS3                ,1471-3802    ,1471-3802    ,1,0,6,3,1,6,4,2,0,10,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Research on Adolescence,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1532-7795,JORA                ,1050-8392    ,1532-7795    ,32,15,27,21,19,8,7,35,8,2,1,6,13,9,10,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Risk and Insurance,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1539-6975,JORI                ,0022-4367    ,1539-6975    ,15,9,26,20,6,13,26,1,5,1,0,5,1,5,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Robotic Systems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-4563,ROB                 ,0741-2223    ,1097-4563    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,1,0,0,0,0,0,0,0,0,0,0
Journal of Scheduling,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1425,JOS                 ,1094-6136    ,1099-1425    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
Journal of School Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1746-1561,JOSH                ,0022-4391    ,1746-1561    ,0,76,55,24,25,18,16,34,31,13,19,17,10,11,3,2,2,3,0,3,4,1,0,0,0,0,0,0,0,3
Journal of Sensory Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-459X,JOSS                ,0887-8250    ,1745-459X    ,0,45,18,4,53,14,19,23,38,22,25,10,5,4,10,0,6,3,3,3,1,3,2,0,0,0,0,0,0,0
Journal of Separation Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1615-9314,JSSC                ,1615-9306    ,1615-9314    ,28,21,46,20,22,19,17,16,24,19,14,9,12,2,2,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Sleep Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2869,JSR                 ,0962-1105    ,1365-2869    ,57,30,29,11,13,7,8,9,8,11,12,6,2,2,8,1,7,1,15,3,1,1,7,2,3,2,4,0,0,0
Journal of Small Animal Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1748-5827,JSAP                ,0022-4510    ,1748-5827    ,75,515,464,349,324,248,175,112,116,98,88,93,141,65,30,28,43,38,48,22,25,25,12,37,16,17,9,7,17,183
Journal of Small Business Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-627X,JSBM                ,0047-2778    ,1540-627X    ,0,3,18,9,5,9,4,8,1,1,9,6,0,1,1,1,16,3,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Social Issues,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-4560,JOSI                ,0022-4537    ,1540-4560    ,0,21,13,21,26,42,34,10,5,14,6,28,17,12,18,31,14,66,88,28,3,3,7,8,2,18,4,3,4,102
Journal of Social Philosophy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9833,JOSP                ,0047-2786    ,1467-9833    ,1,2,1,14,2,4,11,2,10,0,3,2,11,1,8,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0
Journal of Sociolinguistics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9841,JOSL                ,1360-6441    ,1467-9841    ,0,18,8,15,16,3,6,0,0,0,12,4,0,1,1,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Journal of Software: Evolution and Process,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2047-7481,SMR                 ,2047-7473    ,2047-7481    ,8,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Soil Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2389a,EJSS                ,0022-4588    ,1365-2389    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,3,61
Journal of Structural Control,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1538-523X,STC                 ,1122-8385    ,1538-523X    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Supply Chain Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-493X,JSCM                ,1523-2409    ,1745-493X    ,0,4,0,1,0,0,1,0,0,4,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Journal of Supramolecular Structure,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1547-9366,JSS                 ,0091-7419    ,1547-9366    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Journal of Supreme Court History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5818,JSCH                ,1059-4329    ,1540-5818    ,0,3,19,4,0,3,0,1,0,0,0,0,0,0,0,3,0,1,1,3,0,1,0,0,0,0,0,0,0,0
Journal of Surgical Oncology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9098,JSO                 ,0022-4790    ,1096-9098    ,63,74,71,64,40,24,34,17,10,11,3,12,7,8,1,4,1,1,3,0,1,4,2,1,2,3,1,2,1,25
Journal of Synchrotron Radiation,John Wiley and Sons,Wiley Online Library,10.1107/S16005775,JSY2                ,1600-5775    ,1600-5775    ,0,7,2,1,1,1,0,0,3,1,1,1,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Journal of Systematics and Evolution,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1759-6831,JSE                 ,1674-4918    ,1759-6831    ,13,31,16,40,9,4,2,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Texture Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4603,JTXS                ,0022-4901    ,1745-4603    ,14,21,3,7,6,5,4,4,10,9,12,12,6,3,3,4,1,4,2,1,2,3,4,1,2,7,1,0,0,28
Journal of The Historical Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5923,JHIS                ,1529-921X    ,1540-5923    ,0,0,0,0,0,6,1,5,1,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Theoretical Social Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2475-0387,JTS5                ,2475-0387    ,2475-0387    ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Thrombosis and Haemostasis,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1538-7836,JTH                 ,1538-7933    ,1538-7836    ,45,104,116,177,125,119,89,113,77,69,50,53,52,67,36,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Time Series Analysis,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9892,JTSA                ,0143-9782    ,1467-9892    ,6,17,4,3,4,15,7,9,2,0,3,1,3,2,56,0,1,2,1,1,0,1,1,3,2,1,2,0,0,10
Journal of Tissue Engineering and Regenerative Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-7005,TERM                ,1932-6254    ,1932-7005    ,177,72,58,69,24,17,26,5,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Topology,John Wiley and Sons,Wiley Online Library,10.1112/(ISSN)1753-8424,TOPO                ,1753-8416    ,1753-8424    ,0,19,2,13,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Traumatic Stress,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1573-6598,JTS                 ,0894-9867    ,1573-6598    ,4,20,10,8,4,9,2,9,8,5,4,3,4,8,5,2,0,1,3,6,1,0,1,0,0,0,0,0,0,0
Journal of the American Academy of Nurse Practitioners,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7599,JAAN                ,1041-2972    ,1745-7599    ,0,0,0,0,0,17,13,20,14,6,27,9,25,0,2,1,2,2,1,1,4,0,0,0,0,0,0,0,0,0
Journal of the American Association of Nurse Practitioners,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2327-6924,JAAN                ,2327-6886    ,2327-6924    ,6,26,52,17,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the American Ceramic Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1551-2916,JACE                ,0002-7820    ,1551-2916    ,68,72,35,25,24,22,50,32,25,26,46,48,23,29,19,12,12,9,18,58,17,13,11,25,8,12,10,20,14,236
Journal of the American Geriatrics Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1532-5415,JGS                 ,0002-8614    ,1532-5415    ,234,366,246,239,133,106,74,66,84,85,85,102,40,135,50,59,78,58,82,41,37,21,12,12,31,14,19,21,2,50
Journal of the American Pharmaceutical Association,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1930-2169,JPS                 ,0898-140X    ,1930-2169    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Journal of the American Pharmaceutical Association,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1930-2304,JPS                 ,0095-9553    ,1930-2304    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Journal of the American Society for Information Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-4571,ASI                 ,0002-8231    ,1097-4571    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,1,0,0,3
Journal of the American Society for Information Science and Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1532-2890,ASI                 ,1532-2882    ,1532-2890    ,0,0,0,0,0,18,26,46,30,31,7,14,4,42,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Association for Information Science and Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2330-1643,ASI                 ,2330-1635    ,2330-1643    ,43,79,45,16,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the CardioMetabolic Syndrome,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1559-4572,CMS                 ,1559-4564    ,1559-4572    ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Chinese Chemical Society,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2192-6549,JCCS                ,0009-4536    ,2192-6549    ,11,8,14,2,4,1,7,4,7,2,9,7,3,0,8,3,1,1,3,0,5,0,2,0,0,0,0,0,0,0
Journal of the European Academy of Dermatology and Venereology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-3083,JDV                 ,0926-9959    ,1468-3083    ,131,111,92,50,53,50,28,27,20,28,13,20,28,17,42,10,11,10,10,1,2,0,0,0,1,0,0,0,0,0
Journal of the European Economic Association,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1542-4774,JEEA                ,1542-4766    ,1542-4774    ,1,0,18,14,18,25,26,9,10,4,5,2,1,7,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Experimental Analysis of Behavior,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1938-3711,JEAB                ,0022-5002    ,1938-3711    ,3,7,18,4,3,2,0,0,0,1,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Journal of the Federated Institutes of Brewing,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2050-0416a,JIB                 ,2050-2249    ,2050-0416    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Journal of the History of the Behavioral Sciences,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6696,JHBS                ,0022-5061    ,1520-6696    ,1,5,18,10,4,1,0,3,2,1,5,2,0,1,0,0,2,1,1,4,0,1,0,1,1,1,0,0,0,40
Journal of the Institute of Brewing,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2050-0416,JIB                 ,0046-9750    ,2050-0416    ,20,7,18,22,25,24,13,11,10,6,11,4,15,5,10,13,4,2,3,12,0,1,1,1,1,8,6,2,3,167
Journal of the International AIDS Society,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1758-2652,JIA2                ,1758-2652    ,1758-2652    ,0,24,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Journal of the Linnean Society of London, Botany",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1095-8339a,BOJ                 ,0368-2927    ,1095-8339    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Journal of the London Mathematical Society,John Wiley and Sons,Wiley Online Library,10.1112/(ISSN)1469-7750,JLMS                ,0024-6107    ,1469-7750    ,1,6,3,7,0,0,0,2,0,1,1,4,1,0,0,1,0,0,4,0,2,0,0,2,1,0,3,1,0,43
Journal of the Peripheral Nervous System,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1529-8027,JNS                 ,1085-9489    ,1529-8027    ,11,12,11,8,19,9,0,3,9,6,7,7,4,4,0,0,4,3,19,0,0,0,0,0,0,0,0,0,0,0
Journal of the Royal Anthropological Institute,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9655,JRAI                ,1359-0987    ,1467-9655    ,16,68,83,25,30,40,14,40,7,7,8,15,13,5,4,1,4,5,6,0,0,0,0,0,0,0,0,0,0,0
Journal of the Royal Microscopical Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2818a,JMI                 ,0368-3974    ,1365-2818    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Journal of the Royal Statistical Society: Series A (Statistics in Society),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-985X,RSSA                ,0964-1998    ,1467-985X    ,32,35,27,14,2,9,1,28,3,5,6,11,7,6,0,4,4,3,0,2,1,2,0,0,0,0,0,0,0,0
Journal of the Royal Statistical Society: Series B (Statistical Methodology),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9868,RSSB                ,1369-7412    ,1467-9868    ,103,105,32,6,30,17,12,31,28,8,9,13,16,28,6,15,18,8,12,9,2,13,0,0,0,0,0,0,0,0
Journal of the Royal Statistical Society: Series C (Applied Statistics),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9876,RSSC                ,0035-9254    ,1467-9876    ,40,28,7,7,6,1,2,0,1,0,0,4,4,2,0,6,2,3,2,2,4,3,0,0,0,0,0,0,0,0
Journal of the Royal Statistical Society: Series D (The Statistician),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9884,RSSD                ,0039-0526    ,1467-9884    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,7,1,0,0,0,0,0,0,0,0
Journal of the Science of Food and Agriculture,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0010,JSFA                ,0022-5142    ,1097-0010    ,151,135,170,99,86,74,70,68,92,27,61,64,60,45,62,39,23,33,59,18,17,7,8,12,7,11,15,8,11,191
Journal of the Society for Information Display,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1938-3657,JSID                ,1071-0922    ,1938-3657    ,4,3,1,2,10,3,1,2,2,2,1,0,2,1,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0
