Journal Report 1 (R4),Number of Successful Full-Text Article Requests by Month and Journal,,,,,,,,,,,,,,,,,,,,
Cornell University,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Period covered by Report:,,,,,,,,,,,,,,,,,,,,,
2016-01-01 to 2016-12-31,,,,,,,,,,,,,,,,,,,,,
Date run:,,,,,,,,,,,,,,,,,,,,,
9/14/18,,,,,,,,,,,,,,,,,,,,,
Journal,Publisher,Platform,Journal DOI,Proprietary Identifier,Print ISSN,Online ISSN,Reporting Period Total,Reporting Period HTML,Reporting Period PDF,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
Journal of Porphyrins and Phthalocyanines,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1409,JPP,1088-4246,1099-1409,4,0,4,0,0,0,1,1,0,2,0,0,0,0,0
Journal of proceedings of the Agricultural Economics Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1477-9552a,JAGE,1360-1261,1477-9552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Product Innovation Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5885,JPIM,0737-6782,1540-5885,126,66,60,7,13,5,17,11,9,5,22,9,8,14,6
Journal of Prosthodontics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1532-849X,JOPR,1059-941X,1532-849X,70,4,66,5,2,4,9,4,3,9,10,12,9,2,1
Journal of Psychiatric and Mental Health Nursing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2850,JPM,1351-0126,1365-2850,154,61,93,20,16,10,11,18,17,12,7,13,10,11,9
Journal of Psychological Issues in Organizational Culture,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2041-8426,JPOC,2041-8418,2041-8426,16,1,15,0,3,1,2,4,0,1,1,0,1,2,1
Journal of Public Affairs,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1479-1854,PA,1472-3891,1479-1854,50,12,38,3,0,3,9,2,1,3,5,9,6,8,1
Journal of Public Economic Theory,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9779,JPET,1097-3923,1467-9779,112,39,73,8,22,13,22,14,2,4,4,7,2,8,6
Journal of Public Health Dentistry,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1752-7325,JPHD,0022-4006,1752-7325,28,13,15,0,2,6,0,3,0,3,1,2,2,9,0
Journal of Purchasing,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-493Xc,JSCM,0022-4030,1745-493X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Purchasing and Materials Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-493Xb,JSCM,0094-8594,1745-493X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Quality Assurance,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1945-1474a,JHQ,1062-0273,1945-1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Quality in Clinical Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1762,JQC,1320-5455,1440-1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Quaternary Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1417,JQS,0267-8179,1099-1417,61,13,48,2,5,3,7,1,3,13,6,5,6,2,8
Journal of Raman Spectroscopy,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-4555,JRS,0377-0486,1097-4555,253,69,184,24,14,22,11,17,13,22,18,24,61,13,14
Journal of Rapid Methods & Automation in Microbiology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4581,JRM,1060-3999,1745-4581,9,0,9,1,0,1,1,2,1,2,0,0,0,1,0
Journal of Regional Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9787,JORS,0022-4146,1467-9787,278,132,146,6,16,20,66,59,7,10,20,18,12,29,15
Journal of Religious Ethics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9795,JORE,0384-9694,1467-9795,54,17,37,2,2,6,9,0,1,1,0,22,1,4,6
Journal of Religious History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9809,JORH,0022-4227,1467-9809,52,19,33,3,0,5,4,1,7,6,0,4,10,5,7
Journal of Renal Care,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6686,JORC,1755-6678,1755-6686,30,7,23,3,1,2,6,1,0,5,2,3,3,4,0
Journal of Research in Reading,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9817,JRIR,0141-0423,1467-9817,33,14,19,0,5,0,7,0,0,2,2,1,7,8,1
Journal of Research in Science Teaching,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2736,TEA,0022-4308,1098-2736,319,60,259,10,16,14,66,22,51,50,17,15,15,35,8
Journal of Research in Special Educational Needs,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1471-3802,JRS3,1471-3802,1471-3802,38,23,15,1,1,0,0,6,0,0,3,8,6,10,3
Journal of Research on Adolescence,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1532-7795,JORA,1050-8392,1532-7795,170,94,76,3,13,8,12,5,9,14,16,32,25,16,17
Journal of Risk and Insurance,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1539-6975,JORI,0022-4367,1539-6975,90,36,54,5,4,4,13,11,4,2,11,16,12,6,2
Journal of Robotic Systems,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-4563,ROB,0741-2223,1097-4563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Scheduling,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1425,JOS,1094-6136,1099-1425,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Journal of School Health,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1746-1561,JOSH,0022-4391,1746-1561,316,155,161,16,34,36,18,21,16,19,24,34,45,37,16
Journal of Sensory Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-459X,JOSS,0887-8250,1745-459X,256,92,164,18,20,36,36,16,7,28,13,19,26,21,16
Journal of Separation Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1615-9314,2259,1615-9306,1615-9314,299,70,229,13,14,16,13,14,23,41,52,38,44,19,12
Journal of Sleep Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2869,JSR,0962-1105,1365-2869,310,152,158,8,44,27,42,14,27,22,30,27,29,36,4
Journal of Small Animal Practice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1748-5827,JSAP,0022-4510,1748-5827,2821,697,2124,171,253,217,151,219,175,228,299,251,261,165,431
Journal of Small Business Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-627X,JSBM,0047-2778,1540-627X,91,20,71,9,4,9,6,27,2,8,4,2,16,0,4
Journal of Social Issues,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-4560,JOSI,0022-4537,1540-4560,650,307,343,24,44,54,86,55,28,25,50,72,72,72,68
Journal of Social Philosophy,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9833,JOSP,0047-2786,1467-9833,85,31,54,4,2,11,12,7,2,4,3,11,8,13,8
Journal of Sociolinguistics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9841,JOSL,1360-6441,1467-9841,83,47,36,2,3,4,10,12,0,4,1,21,12,9,5
Journal of Software Maintenance and Evolution: Research and Practice,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1532-0618,SMR,1532-060X,1532-0618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Software Maintenance: Research and Practice,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-908X,SMR,1040-550X,1096-908X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Software: Evolution and Process,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2047-7481,SMR,2047-7473,2047-7481,16,2,14,0,0,4,0,0,0,1,2,2,7,0,0
Journal of Soil Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2389a,EJSS,0022-4588,1365-2389,109,0,109,4,16,6,19,18,3,12,4,3,11,11,2
Journal of Structural Control,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1538-523X,STC,1122-8385,1538-523X,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Supply Chain Management,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-493X,JSCM,1523-2409,1745-493X,73,25,48,2,18,7,15,6,4,1,10,3,6,1,0
Journal of Supramolecular Structure,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1547-9366,JSS,0091-7419,1547-9366,10,0,10,2,2,0,0,0,1,1,2,2,0,0,0
Journal of Supramolecular Structure and Cellular Biochemistry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1547-1748,JCB,0275-3723,1547-1748,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Supreme Court History,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5818,JSCH,1059-4329,1540-5818,18,10,8,2,2,2,0,3,1,1,1,1,1,1,3
Journal of Surfactants and Detergents,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1558-9293,JSDE,1097-3958,1558-9293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Surgical Oncology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1096-9098,JSO,0022-4790,1096-9098,510,113,397,32,30,40,39,33,47,48,68,57,67,34,15
Journal of Synchrotron Radiation,John Wiley and Sons,Wiley Online Library,10.1107/S16005775,JSY,1600-5775,1600-5775,34,0,34,2,0,7,1,2,1,3,5,9,2,1,1
Journal of Synchrotron Radiation,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1600-5775,JSY,1600-5775,1600-5775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Synthetic Lubrication,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1557-6841,JSL,0265-6582,1557-6841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Systematics and Evolution,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1759-6831,JSE,1674-4918,1759-6831,83,33,50,10,8,3,6,5,2,6,12,5,8,11,7
Journal of Texture Studies,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-4603,JTXS,0022-4901,1745-4603,190,40,150,8,8,19,35,8,7,10,15,23,22,18,17
Journal of the American Academy of Nurse Practitioners,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1745-7599,JAAN,1041-2972,1745-7599,133,76,57,10,4,9,19,7,6,1,17,22,16,4,18
Journal of the American Association of Nurse Practitioners,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2327-6924,JAAN,2327-6886,2327-6924,98,36,62,5,2,4,9,12,6,10,8,19,10,7,6
Journal of the American Ceramic Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1551-2916,JACE,0002-7820,1551-2916,1007,193,814,59,60,79,64,65,89,100,112,122,136,72,49
Journal of the American Geriatrics Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1532-5415,JGS,0002-8614,1532-5415,2140,977,1163,128,134,132,128,99,163,342,159,222,289,212,132
Journal of the American Heart Association,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2047-9980,JAH3,2047-9980,2047-9980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the American Heart Association,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2047-9980, ,2047-9980,2047-9980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the American Oil Chemists' Society,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1558-9331,AOCS,0003-021X,1558-9331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the American Pharmaceutical Association,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1930-2169,JPS,0898-140X,1930-2169,25,0,25,0,0,3,2,4,1,3,1,1,9,0,1
Journal of the American Pharmaceutical Association,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1930-2304,JPS,0095-9553,1930-2304,38,0,38,3,4,2,2,6,3,0,2,3,6,3,4
Journal of the American Society for Information Science,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-4571,ASI,0002-8231,1097-4571,9,0,9,1,0,1,0,0,0,3,2,0,0,0,2
Journal of the American Society for Information Science and Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1532-2890,ASI,1532-2882,1532-2890,186,115,71,19,26,20,10,9,14,13,16,19,9,18,13
Journal of the American Society for Naval Engineers,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1559-3584a,NEJ,0099-7056,1559-3584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Association for Information Science and Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2330-1643,ASI,2330-1635,2330-1643,246,91,155,26,10,64,20,21,10,10,25,18,15,12,15
Journal of the British Institute of Mental Handicap (APEX),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-3156a,BLD,0261-9997,1468-3156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the CardioMetabolic Syndrome,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1559-4572,CMS,1559-4564,1559-4572,8,4,4,0,3,0,0,0,0,2,2,0,1,0,0
Journal of the Chinese Chemical Society,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2192-6549,2600,0009-4536,2192-6549,64,5,59,3,4,2,5,3,3,10,6,8,14,2,4
Journal of the European Academy of Dermatology and Venereology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-3083,JDV,0926-9959,1468-3083,710,194,516,37,36,50,48,36,32,48,107,109,99,82,26
Journal of the European Economic Association,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1542-4774,JEEA,1542-4766,1542-4774,226,70,156,4,17,30,56,14,7,16,26,15,21,13,7
Journal of the Experimental Analysis of Behavior,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1938-3711,JEAB,0022-5002,1938-3711,45,12,33,2,5,1,1,2,2,9,6,5,11,1,0
Journal of the Federated Institutes of Brewing,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2050-0416a,JIB,2050-2249,2050-0416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of The Historical Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1540-5923,JHIS,1529-921X,1540-5923,24,7,17,1,1,1,1,1,0,5,4,1,4,2,3
Journal of the History of the Behavioral Sciences,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1520-6696,JHBS,0022-5061,1520-6696,89,13,76,1,2,6,10,10,7,1,3,32,12,4,1
Journal of the Institute of Brewing,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2050-0416,JIB,0046-9750,2050-0416,328,25,303,20,32,17,27,23,46,36,37,29,24,22,15
Journal of the Institute of Mental Subnormality (APEX),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1468-3156b,BLD,0141-2205,1468-3156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the International AIDS Society,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1758-2562, ,1758-2562,1758-2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the International AIDS Society,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1758-2652,JIA2,1758-2652,1758-2652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the International AIDS Society,John Wiley and Sons,Wiley Online Library,10.7448/(ISSN)1758-2652,JIA2,0000-0001,0000-0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the International Federation of Gynaecology and Obstetrics,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1879-3479a, ,0020-6695,1879-3479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Journal of the Linnean Society of London, Botany",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1095-8339a,BOJ,0368-2927,1095-8339,11,1,10,1,0,5,0,1,0,2,0,0,2,0,0
"Journal of the Linnean Society of London, Zoology",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1096-3642a,ZOJ,0368-2935,1096-3642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the London Mathematical Society,John Wiley and Sons,Wiley Online Library,10.1112/(ISSN)1469-7750,JLMS,0024-6107,1469-7750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Peripheral Nervous System,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1529-8027,JNS,1085-9489,1529-8027,147,48,99,9,11,19,13,17,11,20,12,9,10,13,3
Journal of the Proceedings of the Linnean Society of London. Botany,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1945-9424,BOJ,1945-9483,1945-9424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Proceedings of the Linnean Society of London. Zoology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1945-9416,ZOJ,1945-9475,1945-9416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of the Royal Anthropological Institute,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9655,JRAI,1359-0987,1467-9655,301,97,204,16,61,31,22,27,14,19,13,13,30,38,17
Journal of the Royal Microscopical Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2818a,JMI,0368-3974,1365-2818,4,0,4,0,0,0,0,0,3,0,0,0,0,0,1
Journal of the Royal Statistical Society: Series A (Statistics in Society),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-985X,RSSA,0964-1998,1467-985X,134,57,77,10,6,10,12,16,11,12,16,15,11,9,6
Journal of the Royal Statistical Society: Series B (Statistical Methodology),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9868,RSSB,1369-7412,1467-9868,249,73,176,12,24,12,32,33,15,18,17,23,26,23,14
Journal of the Royal Statistical Society: Series C (Applied Statistics),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9876,RSSC,0035-9254,1467-9876,93,38,55,5,5,0,12,5,5,10,6,8,25,9,3
Journal of the Royal Statistical Society: Series D (The Statistician),John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9884,RSSD,0039-0526,1467-9884,11,1,10,0,1,1,4,0,1,0,0,0,0,1,3
Journal of the Science of Food and Agriculture,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1097-0010,JSFA,0022-5142,1097-0010,1816,596,1220,96,116,163,130,182,150,169,171,187,175,161,116
Journal of the Society for Information Display,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1938-3657,JSID,1071-0922,1938-3657,130,42,88,1,22,12,11,39,6,7,7,4,17,3,1
Journal of the Society for the Anthropology of Europe,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1556-5823,JSAE,1535-5632,1556-5823,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0
Journal of the Society of Chemical Industry,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1934-9971,JCTB,0368-4075,1934-9971,7,0,7,1,1,1,0,0,0,0,1,0,0,0,3
Journal of the Society of Dyers and Colourists,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1478-4408b,COTE,0037-9859,1478-4408,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Journal of the World Aquaculture Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1749-7345,JWAS,0893-8849,1749-7345,73,20,53,0,3,8,12,3,2,7,15,8,6,0,9
Journal of the World Mariculture Society,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1749-7345a,JWAS,0735-0147,1749-7345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Theoretical Social Psychology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2475-0387,JTS5,2475-0387,2475-0387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Thrombosis and Haemostasis,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1538-7836,JTH,1538-7933,1538-7836,1243,479,764,95,81,83,136,83,97,93,131,127,125,85,107
Journal of Time Series Analysis,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9892,JTSA,0143-9782,1467-9892,62,13,49,5,5,6,13,5,1,1,8,1,9,6,2
Journal of Tissue Engineering and Regenerative Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1932-7005,TERM,1932-6254,1932-7005,297,97,200,11,17,21,27,31,41,26,28,27,36,15,17
Journal of Topology,John Wiley and Sons,Wiley Online Library,10.1112/(ISSN)1753-8424,TOPO,1753-8416,1753-8424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Traumatic Stress,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1573-6598,JTS,0894-9867,1573-6598,180,48,132,20,7,23,5,8,26,12,22,21,19,7,10
Journal of Travel Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1708-8305,JTM,1195-1982,1708-8305,71,34,37,4,3,7,1,10,4,6,8,5,2,2,19
Journal of Ultrasound in Medicine,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1550-9613,JUM,0278-4297,1550-9613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Urban Affairs,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9906,JUAF,0735-2166,1467-9906,294,144,150,8,24,20,34,33,8,18,15,37,50,24,23
Journal of Vector Ecology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1948-7134,JVEC,1081-1710,1948-7134,43,28,15,1,1,5,6,1,2,3,4,4,6,1,9
Journal of Vegetation Science,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1654-1103,JVS,1100-9233,1654-1103,174,45,129,12,28,17,8,9,10,14,9,29,18,7,13
Journal of Veterinary Emergency and Critical Care,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1476-4431,VEC,1479-3261,1476-4431,4002,1286,2716,222,247,227,309,417,269,252,438,370,467,505,279
Journal of Veterinary Internal Medicine,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1939-1676,JVIM,0891-6640,1939-1676,8146,1849,6297,492,674,824,570,607,518,688,961,880,613,604,715
Journal of Veterinary Medicine Series A,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1439-0442,TBED,0931-184X,1439-0442,165,76,89,12,10,20,12,19,14,9,19,20,16,11,3
"Journal of Veterinary Medicine, Series B",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1439-0450,ZPH,0931-1793,1439-0450,64,21,43,8,9,6,5,5,5,2,3,3,9,2,7
Journal of Veterinary Pharmacology and Therapeutics,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2885,JVP,0140-7783,1365-2885,558,237,321,45,92,50,47,48,24,36,47,38,41,42,48
Journal of Vinyl and Additive Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1548-0585,VNL,1083-5601,1548-0585,34,11,23,1,4,1,0,5,3,6,6,4,2,1,1
Journal of Vinyl Technology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1548-0585a,VNL,0193-7197,1548-0585,3,0,3,0,0,0,1,0,0,1,0,0,0,1,0
Journal of Viral Hepatitis,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1365-2893,JVH,1352-0504,1365-2893,338,106,232,17,21,43,34,27,41,18,57,23,25,23,9
Journal of Zoological Systematics and Evolutionary Research,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1439-0469,JZS,0947-5745,1439-0469,34,10,24,4,2,6,2,2,2,3,5,3,2,3,0
Journal of Zoology,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1469-7998,JZO,0952-8369,1469-7998,521,216,305,20,48,51,94,44,31,32,29,57,49,37,29
Juncture,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)2050-5876,NEWE,2050-5868,2050-5876,28,5,23,1,4,1,1,3,1,3,0,1,5,2,6
Justus Liebigs Annalen der Chemie,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-0690d,2046,0075-4617,1099-0690,72,0,72,8,9,5,7,6,7,1,6,2,9,4,8
Juvenile and Family Court Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6988,JFCJ,0161-7109,1755-6988,11,7,4,0,0,0,1,0,0,1,4,1,2,2,0
Juvenile Court Judges Journal,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6988a,JFCJ,0022-7153,1755-6988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juvenile Justice,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1755-6988b,JFCJ,0093-7231,1755-6988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knowledge and Process Management,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-1441,KPM,1092-4604,1099-1441,9,3,6,1,0,0,0,1,0,2,0,1,3,1,0
Kristall und Technik,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1521-4079a,2223,0023-4753,1521-4079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyklos,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-6435,KYKL,0023-5962,1467-6435,68,24,44,2,5,8,10,10,4,4,3,2,6,7,7
Laboratoriums Medizin,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1439-0477,LABM,0342-3026,1439-0477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laboratory Robotics and Automation,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1098-2728,LRA,0895-7533,1098-2728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LABOUR,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9914,LABR,1121-7081,1467-9914,45,18,27,3,13,4,3,2,2,1,3,11,1,2,0
"Lakes & Reservoirs: Science, Policy and Management for Sustainable Use",John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1440-1770,LRE,1320-5331,1440-1770,27,17,10,0,5,3,0,0,1,3,0,3,3,4,5
Land Degradation & Development,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1099-145X,LDR,1085-3278,1099-145X,423,75,348,18,23,12,11,24,9,95,22,34,56,86,33
Language and Linguistics Compass,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1749-818X,LNC3,1749-818X,1749-818X,167,86,81,3,3,13,24,12,0,2,16,15,45,30,4
Language Learning,John Wiley and Sons,Wiley Online Library,10.1111/(ISSN)1467-9922,LANG,0023-8333,1467-9922,77,34,43,2,3,6,7,5,4,9,7,11,6,10,7
Laryngoscope Investigative Otolaryngology,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)2378-8038,LIO2,2378-8038,2378-8038,3,2,1,0,0,0,0,0,0,0,1,0,0,0,2
Laser & Photonics Reviews,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1863-8899,2414,1863-8880,1863-8899,171,53,118,16,7,20,11,16,9,6,14,23,19,18,12
Laser Physics Letters,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1612-202X,2411,1612-2011,1612-202X,11,0,11,0,0,3,2,1,3,1,0,0,1,0,0
Laser Technik Journal,John Wiley and Sons,Wiley Online Library,10.1002/(ISSN)1863-9119,2421,1613-7728,1863-9119,18,0,18,1,14,0,2,0,0,0,0,0,1,0,0
