Journal Code,Journal Code with Format,Media,USA,UK,Europe,Rest of World
JOHC,JOHC/E,Online,$146,£104,€ 120,$146
JOHS,JOHS/E,Online,"$1,349",£675,€ 857,"$1,576"
JOID,JOID/E,Online,$626,£366,€ 462,$710
JOIE,JOIE/E,Online,$466,£308,€ 388,$647
JOIM,JOIM/E,Online,"$2,075","£1,236","€ 1,570","$2,420"
JOLA,JOLA/E,Online,$93,£50,€ 59,$88
JOLS,JOLS/E,Online,"$1,426",£703,€ 890,"$1,662"
JOMS,JOMS/E,Online,"$3,030","£1,442","€ 1,832","$3,537"
JON,JON/E,Online,"$1,288",£835,"€ 1,060","$1,630"
JONM,JONM/E,Online,"$1,571",£852,"€ 1,081","$1,832"
JOOMD,JOOMD,Online,$ 1249,£953,"€ 1,068",$ 1249
JOOP,JOOP/E,Online,$669,£363,€ 537,$669
JOOR,JOOR/E,Online,"$4,776","£2,667","€ 3,385","$5,739"
JOP,JOP/E,Online,"$1,698","£1,010","€ 1,283","$1,973"
JOPE,JOPE/E,Online,"$1,745",£934,"€ 1,185","$2,036"
JOPP,JOPP/E,Online,"$1,235",£896,"€ 1,133","$1,751"
JOPR,JOPR/E,Online,$772,£648,€ 820,"$1,263"
JOPY,JOPY/E,Online,"$1,744","£1,489","€ 1,889","$2,915"
JOR,JOR/E,Online,"$1,109",£569,€ 718,"$1,109"
JORA,JORA/E,Online,"$1,065",£757,€ 959,"$1,479"
JORC,JORC/E,Online,$755,£382,€ 483,$817
JORE,JORE/E,Online,$349,£284,€ 355,$546
JORH,JORH/E,Online,$732,£507,€ 643,$992
JORS,JORS/E,Online,$763,£570,€ 723,"$1,112"
JOSH,JOSH/E,Online,$595,£382,€ 483,$741
JOSL,JOSL/E,Online,$987,£588,€ 745,"$1,145"
JOSP,JOSP/E,Online,$751,£594,€ 753,"$1,160"
JOSS,JOSS/E,Online,$848,£437,€ 554,$848
JPC,JPC/E,Online,"$1,969","£1,219","€ 1,547","$2,387"
JPCU,JPCU/E,Online,$452,£351,€ 446,$687
JPE,JPE/E,Online,"$2,092","£1,135","€ 1,439","$2,438"
JPEN,JPEN/E,Online,$587,£455,€ 544,$587
JPET,JPET/E,Online,"$1,468","£1,085","€ 1,377","$2,123"
JPG,JPG/E,Online,"$1,017",£533,€ 679,"$1,150"
JPH,JPH/E,Online,"$3,359","£2,002","€ 2,541","$4,305"
JPHD,JPHD/E,Online,$468,£293,€ 369,$568
JPHP,JPHP/E,Online,"$3,088","£1,634","€ 2,232","$3,088"
,,,,,,
JPHS,JPHS/E(MEDIUM),Online,$786,£504,€ 592,$786
,,,,,,
JPI,JPI/E,Online,"$2,981","£1,777","€ 2,256","$3,477"
JPIM,JPIM/E,Online,"$1,461","£1,048","€ 1,329","$1,924"
JPLN,JPLN/E,Online,"$1,752",£896,"€ 1,336","$1,752"
JPM,JPM/E,Online,"$2,307","£1,251","€ 1,586","$2,694"
JPN,JPN/E,Online,"$2,699","£1,461","€ 1,858","$3,147"
JPPI,JPPI/E,Online,$651,£500,€ 631,$976
JPPR,JPPR/E,Online,$257,£163,€ 193,$257
JPY,JPY/E,Online,"$1,099",£653,€ 765,"$1,099"
JQS,JQS/E,Online,"$3,330","£1,701","€ 2,152","$3,330"
JRE,JRE/E,Online,"$1,523",£909,"€ 1,151","$1,774"
JRH,JRH/E,Online,$388,£258,€ 326,$498
JRS,JRS/E,Online,"$12,739","£6,501","€ 8,220","$12,739"
,,,,,,
JRSM,JRSM/E(MEDIUM),Online,$867,£487,€ 564,$867
,,,,,,
JSAP,JSAP/E,Online,"$1,024",£556,€ 704,"$1,192"
JSBM,JSBM/E,Online,$501,£393,€ 501,$772
JSC,JSC/E,Online,"$1,378",£772,€ 953,"$1,378"
JSCH,JSCH/E,Online,$284,£219,€ 276,$421
JSCM,JSCM/E,Online,$452,£285,€ 362,$551
JSDE,JSDE/E,Online,$931,£722,€ 862,$931
,,,,,,
JSE,JSE/E(MEDIUM),Online,"$1,316",£924,"€ 1,068","$1,316"
,,,,,,
JSFA,JSFA/E,Online,"$6,482","£3,309","€ 4,184","$6,482"
JSID,JSID/E,Online,$428,£271,€ 324,$428
JSO,JSO/E,Online,"$8,095","£4,133","€ 5,225","$8,095"
JSPN,JSPN/E,Online,$309,£216,€ 272,$415
JSR,JSR/E,Online,"$1,168",£635,€ 809,"$1,358"
JSSC,JSSC/E,Online,"$4,787","£2,444","€ 3,912","$4,787"
JSSR,JSSR/E,Online,$276,£211,€ 268,$410
JSY,JSY/E,Online,"$2,011","£1,197","€ 1,518","$2,011"
JTH,JTH/E,Online,"$1,570","£1,178","€ 1,496","$2,302"
JTR,JTR/E,Online,"$1,484",£763,€ 958,"$1,484"
JTS,JTS/E,Online,"$1,440",£739,€ 933,"$1,440"
JTSA,JTSA/E,Online,"$3,117","£1,690","€ 2,144","$3,636"
JTSB,JTSB/E,Online,"$1,044",£644,€ 817,"$1,503"
JTXS,JTXS/E,Online,$722,£481,€ 607,$931
JUM,JUM/E,Online,$608,£409,€ 553,$608
JVH,JVH/E,Online,"$3,991","£2,160","€ 2,744","$4,655"
JVP,JVP/E,Online,"$2,561","£1,389","€ 1,764","$2,992"
JWAS,JWAS/E,Online,$772,£397,€ 502,$652
JWIP,JWIP/E,Online,"$1,185",£703,€ 894,"$1,377"
JZO,JZO/E,Online,"$3,759","£2,035","€ 2,587","$4,387"
JZS,JZS/E,Online,"$1,955","£1,164","€ 1,481","$2,501"
KIN,KIN/E,Online,"$7,759","£3,965","€ 5,010","$7,759"
KPM,KPM/E,Online,"$1,690",£930,"€ 1,091","$1,690"
KYKL,KYKL/E,Online,"$1,097",£655,€ 833,"$1,280"
LABR,LABR/E,Online,$948,£565,€ 719,"$1,104"
LANG,LANG/E,Online,$615,£473,€ 597,$921
LAPO,LAPO/E,Online,$789,£632,€ 801,"$1,234"
LARY,LARY/E,Online,"$1,124",£624,€ 787,"$1,217"
LASR,LASR/E,Online,$598,£450,€ 570,$877
LCRP,LCRP/E,Online,$411,£247,€ 331,$411
LDR,LDR/E,Online,"$2,324","£1,190","€ 1,504","$2,324"
LDRP,LDRP/E,Online,$870,£667,€ 846,"$1,303"
LEAP,LEAP/E,Online,$461,£233,€ 347,$461
LEMI,LEMI/E,Online,$921,£470,€ 832,$921
LET,LET/E,Online,$550,£326,€ 418,$639
LIC3,LIC3/E,Online,"$1,495",£852,"€ 1,083","$1,665"
LIPD,LIPD/E,Online,$875,£679,€ 810,$875
LIT,LIT/E,Online,$646,£342,€ 431,$751
LIV,LIV/E,Online,"$1,681","£1,004","€ 1,276","$1,964"
LNC3,LNC3/E,Online,"$1,448",£825,"€ 1,049","$1,613"
,,,,,,
LPOR,LPOR/E(MEDIUM),Online,"$3,111","£1,901","€ 2,228","$3,111"
,,,,,,
LRE,LRE/E,Online,"$1,118",£695,€ 885,"$1,357"
LS,LS/E,Online,"$5,037","£2,575","€ 3,252","$5,037"
LSM,LSM/E,Online,"$4,393","£2,296","€ 2,899","$4,393"
LSQ,LSQ/E,Online,$541,£404,€ 467,$572
LTL,LTL/E,Online,"$1,966","£1,007","€ 1,272","$1,966"
,,,,,,
LUTS,LUTS/E(MEDIUM),Online,$564,£358,€ 417,$564
,,,,,,
MABI,MABI/E,Online,"$3,914","£2,000","€ 3,015","$3,914"
MACO,MACO/E,Online,"$5,761","£2,943","€ 4,492","$5,761"
MACP,MACP/E,Online,"$7,210","£3,682","€ 5,624","$7,210"
MAEC,MAEC/E,Online,"$1,716","£1,022","€ 1,296","$2,199"
MAFI,MAFI/E,Online,"$1,914","£1,496","€ 1,900","$2,928"
MALQ,MALQ/E,Online,"$1,599",£819,"€ 1,303","$1,599"
MAM,MAM/E,Online,"$1,243",£671,€ 854,"$1,447"
MAME,MAME/E,Online,"$5,915","£3,021","€ 4,503","$5,915"
MANA,MANA/E,Online,"$11,338","£5,789","€ 8,738","$11,338"
MANC,MANC/E,Online,"$1,389",£670,€ 848,"$1,620"
MAPS,MAPS/E,Online,"$1,984","£1,214","€ 1,422","$1,984"
MAQ,MAQ/E,Online,$172,£88,€ 110,$167
MAR,MAR/E,Online,"$2,752","£1,578","€ 1,995","$2,752"
MARC,MARC/E,Online,"$5,602","£2,859","€ 4,373","$5,602"
MARE,MARE/E,Online,"$2,093","£1,063","€ 1,337","$2,093"
MAS,MAS/E,Online,"$2,713","£1,388","€ 1,754","$2,713"
MASY,MASY/E,Online,"$4,445","£2,270","€ 3,378","$4,445"
MATS,MATS/E,Online,"$1,647",£841,"€ 1,253","$1,647"
MAWE,MAWE/E,Online,"$5,655","£2,890","€ 4,479","$5,655"
MBE,MBE/E,Online,$375,£241,€ 305,$468
MC,MC/E,Online,"$5,054","£2,584","€ 3,264","$5,054"
MCDA,MCDA/E,Online,"$1,266",£648,€ 819,"$1,266"
MCN,MCN/E,Online,$940,£506,€ 643,"$1,090"
MDC3,MDC3/E,Online,"$1,073",£678,€ 848,"$1,073"
MDE,MDE/E,Online,"$3,391","£1,734","€ 2,189","$3,391"
MDS,MDS/E,Online,"$2,591","£1,541","€ 1,945","$3,011"
MECA,MECA/E,Online,"$1,305",£781,€ 987,"$1,522"
MED,MED/E,Online,"$4,003","£2,047","€ 2,584","$4,003"
,,,,,,
MEE3,MEE3/E(MEDIUM),Online,"$2,455","£1,576","€ 1,843","$2,455"
,,,,,,
MEPO,MEPO/E,Online,$386,£305,€ 387,$590
MET,MET/E,Online,$851,£436,€ 552,$851
META,META/E,Online,"$1,391",£674,€ 852,"$1,621"
MGR,MGR/E,Online,"$2,678","£1,686","€ 1,956","$2,678"
MHW,MHW/E,Online,"$7,748","£3,956","€ 5,001","$7,748"
MICC,MICC/E,Online,"$2,340","£1,429","€ 1,678","$2,340"
MICE,MICE/E,Online,"$1,992","£1,463","€ 1,860","$2,866"
MICR,MICR/E,Online,"$1,792",£916,"€ 1,157","$1,792"
MILA,MILA/E,Online,"$1,670",£819,"€ 1,038","$1,951"
MILQ,MILQ/E,Online,$363,£265,€ 334,$514
MILT,MILT/E,Online,$363,£219,€ 276,$421
MIM,MIM/E,Online,$675,£343,€ 435,$675
MINF,MINF/E,Online,"$3,395","£1,735","€ 2,675","$3,395"
MJ0004,MJ0004/E,Online,"$1,119",£577,"€ 1,070","$1,119"
MJ0006,MJ0006/E,Online,"$1,208",£779,€ 984,"$1,208"
MJ0008,MJ0008/E,Online,$862,£455,€ 573,"$1,001"
MJ0009,MJ0009/E,Online,$898,£611,€ 774,"$1,192"
MJ0010,MJ0010/E,Online,"$2,234","£1,335","€ 1,691","$2,605"
MJ0011,MJ0011/E,Online,"$4,165","£2,199","€ 2,786","$4,858"
MJ0012,MJ0012/E,Online,"$2,477","£1,132","€ 1,437","$2,888"
MJ0013,MJ0013/E,Online,"$2,420","£1,441","€ 1,831","$2,821"
MJ0014,MJ0014/E,Online,"$1,134",£547,€ 694,"$1,324"
MJ0016,MJ0016/E,Online,"$1,483",£887,"€ 1,123","$1,730"
MJ0017,MJ0017/E,Online,$981,£603,€ 704,$981
MJ0018,MJ0018/E,Online,"$1,028",£737,€ 934,"$1,437"
MJ0021,MJ0021/E,Online,$453,£352,€ 450,$689
MJ0022,MJ0022/E,Online,$787,£473,€ 615,$787
MJ0025,MJ0025/E,Online,"$1,963","£1,065","€ 1,355","$2,290"
MJ0026,MJ0026/E,Online,"$6,919","£3,745","€ 4,760","$8,073"
MJ0027,MJ0027/E,Online,$643,£323,€ 409,$643
MJ0028,MJ0028/E,Online,"$3,854","£1,945","€ 2,468","$4,504"
MJ0029,MJ0029/E,Online,$385,£193,€ 242,$369
MJ0030,MJ0030/E,Online,"$3,270","£1,672","€ 2,112","$3,270"
MJ0031,MJ0031/E,Online,"$2,324","£1,102","€ 1,398","$2,708"
MJ0033,MJ0033/E,Online,"$3,210","£1,791","€ 2,412","$3,507"
MJ0034,MJ0034/E,Online,$781,£468,€ 593,$909
MJ0035,MJ0035/E,Online,"$7,084","£3,837","€ 4,871","$8,263"
MJ0039,MJ0039/E,Online,$667,£412,€ 522,$800
MJ0041,MJ0041/E,Online,"$1,614","£1,234","€ 1,563","$2,409"
MJ0042,MJ0042/E,Online,$651,£504,€ 637,$985
MJ0044,MJ0044/E,Online,"$1,198",£714,€ 906,"$1,271"
MJ0045,MJ0045/E,Online,"$1,002",£685,€ 864,"$1,422"
MJ0046,MJ0046/E,Online,"$2,299","£1,175","€ 1,492","$2,299"
MJ0047,MJ0047/E,Online,"$1,232",£783,€ 958,"$1,232"
MJ0048,MJ0048/E,Online,"$14,303","£7,745","€ 9,835","$16,684"
MJ0049,MJ0049/E,Online,"$3,602","£1,951","€ 2,476","$4,201"
MJ0050,MJ0050/E,Online,$999,£599,€ 764,"$1,176"
MJ0051,MJ0051/E,Online,"$1,226",£905,"€ 1,145","$1,765"
MJ0052,MJ0052/E,Online,"$1,016",£499,€ 631,"$1,081"
MJ0058,MJ0058/E,Online,"$12,108","£6,182","€ 9,341","$12,108"
MJ0060,MJ0060/E,Online,"$3,606","£1,841","€ 2,540","$3,606"
,,,,,,
MJ0062,MJ0062/E(MEDIUM),Online,"$6,061","£3,846","€ 4,693","$6,061"
,,,,,,
MJ0063,MJ0063/E,Online,"$10,907","£6,480","€ 8,231","$10,907"
MJ0066,MJ0066/E,Online,"$5,741","£3,415","€ 4,336","$5,741"
MJ0069,MJ0069/E,Online,"$2,513","£1,847","€ 2,347","$3,613"
MJ0071,MJ0071/E,Online,"$3,581","£1,829","€ 2,539","$3,935"
MJ0072,MJ0072/E,Online,"$7,729","£4,596","€ 5,836","$7,729"
MJ0073,MJ0073/E,Online,"$4,573","£2,720","€ 3,455","$4,573"
MJ0074,MJ0074/E,Online,"$2,098","£1,248","€ 1,584","$2,098"
MJ0075,MJ0075/E,Online,"$1,439",£735,€ 932,"$1,439"
MJ0076,MJ0076/E,Online,$651,£489,€ 622,$923
MJ0081,MJ0081/E,Online,"$2,784","£1,704","€ 1,994","$2,784"
MJ0085,MJ0085/E,Online,"$3,176","£1,894","€ 2,401","$3,176"
MJ0087,MJ0087/E,Online,"$1,294",£996,"€ 1,262","$1,948"
MJ0091,MJ0091/E,Online,"$10,011","£6,259","€ 8,486","$10,011"
MJ0092,MJ0092/E,Online,"$1,728",£939,"€ 1,190","$1,797"
MJ0093,MJ0093/E,Online,"$1,182",£705,€ 890,"$1,385"
MJ0100,MJ0100/E,Online,$871,£461,€ 578,"$1,011"
MJ0101,MJ0101/E,Online,"$1,865","£1,009","€ 1,280","$2,175"
MJ0129,MJ0129/E,Online,"$3,808","£2,328","€ 2,745","$3,808"
MJ0130,MJ0130/E,Online,$593,£381,€ 448,$593
MJ0136,MJ0136/E,Online,"$1,161",£595,"€ 1,126","$1,161"
MJ0137,MJ0137/E,Online,$435,£233,€ 291,$446
MJ0141,MJ0141/E,Online,"$1,409",£916,"€ 1,059","$1,409"
MJ0146,MJ0146/E,Online,"$38,011","£19,394","€ 24,526","$38,011"
MJ0156,MJ0156/E,Online,$970,£595,€ 698,$970
MJ0158,MJ0158/E,Online,"$1,554",£951,"€ 1,112","$1,712"
MJ0182,MJ0182/E,Online,"$4,787","£2,444","€ 3,912","$4,787"
MJ0249,MJ0249/E,Online,"$1,251",£885,"€ 1,020","$1,251"
MJ0258,MJ0258/E,Online,"$15,844","£8,093","€ 12,346","$15,844"
MJ0259,MJ0259/E,Online,"$2,524","£1,289","€ 2,071","$2,524"
MJ0263,MJ0263/E,Online,"$1,754",£965,"€ 1,225","$1,886"
MJ0264,MJ0264/E,Online,"$1,215",£722,€ 920,"$1,413"
MJ0265,MJ0265/E,Online,"$3,048","£1,840","€ 2,797","$3,048"
MJ0289,MJ0289/E,Online,"$2,351","£1,204","€ 1,516","$2,351"
MJ0300,MJ0300/E,Online,"$6,400","£3,270","€ 5,166","$6,400"
MJ0301,MJ0301/E,Online,"$1,771","£1,373","€ 1,640","$1,771"
MJ0302,MJ0302/E,Online,"$1,973","£1,530","€ 1,828","$1,973"
MJ0303,MJ0303/E,Online,"$24,117","£12,310","€ 15,560","$24,117"
MJ0306,MJ0306/E,Online,"$2,312","£1,183","€ 1,493","$2,312"
MJ0307,MJ0307/E,Online,"$2,324","£1,190","€ 1,503","$2,324"
MJ0308,MJ0308/E,Online,"$1,334",£684,€ 863,"$1,334"
MJ0309,MJ0309/E,Online,$403,£254,€ 315,$491
MJ0310,MJ0310/E,Online,"$2,804","£1,435","€ 1,811","$2,804"
MJ0311,MJ0311/E,Online,"$2,873","£1,550","€ 1,974","$3,350"
MJ0313,MJ0313/E,Online,"$11,866","£6,055","€ 7,657","$11,866"
MJ0314,MJ0314/E,Online,"$4,887","£2,497","€ 3,156","$4,887"
,,,,,,
MJ0315,MJ0315/E(MEDIUM),Online,$720,£559,€ 667,$720
,,,,,,
MJ0316,MJ0316/E,Online,"$29,932","£15,275","€ 19,315","$29,932"
MJ0400,MJ0400/E,Online,"$15,659","£7,993","€ 10,104","$15,659"
MJ0406,MJ0406/E,Online,$314,£264,€ 315,$340
MJ0408,MJ0408/E,Online,"$7,223","£3,689","€ 4,661","$7,223"
MJ0410,MJ0410/E,Online,"$18,377","£9,340","€ 12,194","$18,377"
MJ0411,MJ0411/E,Online,"$4,653","£2,517","€ 3,197","$5,427"
MJ0412,MJ0412/E,Online,"$17,248","£8,805","€ 11,130","$17,248"
MJ0413,MJ0413/E,Online,$1457,"£1,107","€ 1,247",$1457
,,,,,,
MJA2,MJA2/E(MEDIUM),Online,$900,£674,€ 762,$900
,,,,,,
MLR,MLR/E,Online,$543,£306,€ 386,$543
MMA,MMA/E,Online,"$9,772","£4,988","€ 6,306","$9,772"
MMCE,MMCE/E,Online,"$2,784","£1,422","€ 1,798","$2,784"
MMI,MMI/E,Online,"$10,130","£5,484","€ 6,964","$11,814"
MMR,MMR/E,Online,"$2,141","£1,346","€ 1,564","$2,141"
MMS,MMS/E,Online,$381,£237,€ 297,$455
MNFR,MNFR/E,Online,"$3,437","£1,758","€ 2,665","$3,437"
MODL,MODL/E,Online,$295,£235,€ 296,$456
MOP,MOP/E,Online,"$5,416","£2,765","€ 3,496","$5,416"
MOTH,MOTH/E,Online,"$1,151",£699,€ 885,"$1,565"
MP,MP/E,Online,"$1,805","£1,212","€ 1,641","$1,805"
MPO,MPO/E,Online,"$7,165","£3,656","€ 4,623","$7,165"
MPR,MPR/E,Online,"$1,216",£624,€ 789,"$1,216"
MRC,MRC/E,Online,"$12,724","£6,494","€ 8,210","$12,724"
MRD,MRD/E,Online,"$12,045","£6,150","€ 7,771","$12,045"
,,,,,,
MREN,MREN/E(MEDIUM),Online,"$2,967","£1,515","€ 2,109","$2,967"
,,,,,,
MRM,MRM/E,Online,"$4,092","£2,091","€ 2,644","$4,092"
MSC,MSC/E,Online,$504,£258,€ 327,$504
MUAN,MUAN/E,Online,$94,£50,€ 61,$92
MUS,MUS/E,Online,"$4,979","£2,543","€ 3,215","$4,979"
MUSA,MUSA/E,Online,"$1,435",£696,€ 883,"$1,662"
MUWO,MUWO/E,Online,$428,£293,€ 368,$568
MVE,MVE/E,Online,"$1,666",£899,"€ 1,147","$1,943"
MYC,MYC/E,Online,"$1,349",£767,€ 968,"$1,572"
NAAQ,NAAQ/E,Online,$496,£385,€ 459,$496
NAD,NAD/E,Online,$23,£14,€ 15,$21
NAG,NAG/E,Online,"$9,954","£5,081","€ 6,423","$9,954"
NAN,NAN/E,Online,"$3,684","£1,995","€ 2,531","$4,292"
NAPA,NAPA/E,Online,$90,£48,€ 59,$88
NARF,NARF/E,Online,"$1,543",£918,"€ 1,168","$1,799"
NAU,NAU/E,Online,"$4,260","£2,172","€ 2,747","$4,260"
NAV,NAV/E,Online,"$3,624","£1,851","€ 2,339","$3,624"
NAVI,NAVI/E,Online,$306,£198,€ 233,$306
NBA,NBA/E,Online,"$3,783","£2,318","€ 2,715","$3,783"
NBFR,NBFR/E,Online,$380,£267,€ 333,$515
NBM,NBM/E,Online,"$4,115","£2,102","€ 2,656","$4,115"
NBU,NBU/E,Online,"$1,080",£587,€ 744,"$1,261"
NCMR,NCMR/E,Online,$623,£350,€ 444,$683
,,,,,,
NCN3,NCN3/E(MEDIUM),Online,$629,£490,€ 621,$629
,,,,,,
NCP,NCP/E,Online,$515,£399,€ 477,$515
NDI,NDI/E,Online,$309,£181,€ 228,$348
NEJO,NEJO/E,Online,"$1,178",£862,"€ 1,095","$1,500"
NEM,NEM/E,Online,"$2,112","£1,082","€ 1,365","$2,112"
NEP,NEP/E,Online,"$1,307",£809,"€ 1,027","$1,580"
NER,NER/E,Online,$691,£533,€ 673,"$1,039"
NET,NET/E,Online,"$4,153","£2,123","€ 2,683","$4,153"
NEU,NEU/E,Online,"$10,437","£5,330","€ 6,738","$10,437"
NEUP,NEUP/E,Online,"$1,497",£925,"€ 1,172","$1,804"
NEWE,NEWE/E,Online,"$1,014",£604,€ 767,"$1,182"
,,,,,,
NHA3,NHA3/E(MEDIUM),Online,"$1,005",£635,€ 735,"$1,005"
,,,,,,
NHS,NHS/E,Online,"$1,097",£681,€ 864,"$1,330"
NICC,NICC/E,Online,$838,£454,€ 579,$978
NIN,NIN/E,Online,"$1,040",£562,€ 711,"$1,205"
NJB,NJB/E,Online,$916,£497,€ 632,$971
NLA,NLA/E,Online,"$3,029","£1,548","€ 1,956","$3,029"
NME,NME/E,Online,"$19,902","£10,160","€ 12,843","$19,902"
NML,NML/E,Online,$494,£258,€ 326,$494
NMO,NMO/E,Online,"$3,431","£1,863","€ 2,365","$4,002"
NPC,NPC/E,Online,"$1,064",£545,€ 691,"$1,064"
NPCR,NPCR/E,Online,"$2,141","£1,346","€ 1,564","$2,141"
NPH,NPH/E,Online,"$4,844","£2,625","€ 3,331","$5,650"
NPQU,NPQU/E,Online,$652,£523,€ 663,"$1,020"
NRM,NRM/E,Online,$775,£393,€ 500,$770
NSG,NSG/E,Online,$782,£584,€ 661,$782
NSR,NSR/E,Online,"$4,049","£2,073","€ 3,194","$4,049"
NTLF,NTLF/E,Online,$711,£459,€ 536,$711
NTWE,NTWE/E,Online,"$1,017",£484,€ 613,"$1,189"
NUF,NUF/E,Online,$355,£242,€ 309,$473
NUM,NUM/E,Online,"$4,295","£2,195","€ 2,775","$4,295"
NUP,NUP/E,Online,$811,£437,€ 556,$944
NUR,NUR/E,Online,"$2,378","£1,217","€ 1,537","$2,378"
NVSM,NVSM/E,Online,$944,£549,€ 610,$944
NYAS,NYAS/E,Online,"$7,504","£4,173","€ 5,295","$8,171"
NZG,NZG/E,Online,$461,£258,€ 327,$501
OA,OA/E,Online,"$2,282","£1,170","€ 1,474","$2,282"
OBES,OBES/E,Online,"$1,303",£641,€ 812,"$1,524"
OBR,OBR/E,Online,"$1,286",£703,€ 894,"$1,503"
OBY,OBY/E,Online,$843,£543,€ 629,$843
OCA,OCA/E,Online,"$6,185","£3,160","€ 3,989","$6,185"
OCEA,OCEA/E,Online,$345,£218,€ 253,$345
OCR,OCR/E,Online,$833,£500,€ 632,$973
ODI,ODI/E,Online,"$1,772","£1,058","€ 1,340","$2,063"
OET,OET/E,Online,"$6,412","£3,792","€ 4,817","$7,428"
OETS,OETS/E,Online,"$2,410","£1,323","€ 1,681","$2,587"
OIK,OIK/E,Online,"$2,353","£1,403","€ 1,779","$2,748"
OJOA,OJOA/E,Online,"$1,657",£773,€ 980,"$1,934"
OLI,OLI/E,Online,"$1,009",£605,€ 767,"$1,182"
OMI,OMI/E,Online,"$1,374",£819,"€ 1,040","$1,601"
,,,,,,
ONCO,ONCO/E(MEDIUM),Online,$711,£552,€ 659,$711
,,,,,,
OPEC,OPEC/E,Online,"$1,029",£614,€ 779,"$1,200"
OPFL,OPFL/E,Online,$199,£149,€ 169,$199
OPN,OPN/E,Online,$660,£360,€ 456,$764
OPO,OPO/E,Online,"$2,218","£1,201","€ 1,525","$2,587"
ORS,ORS/E,Online,$782,£392,€ 496,$764
PA,PA/E,Online,$726,£405,€ 470,$726
PACE,PACE/E,Online,"$1,450","£1,129","€ 1,433","$2,206"
PAD,PAD/E,Online,"$2,275","£1,163","€ 1,470","$2,275"
PADM,PADM/E,Online,"$1,989","£1,000","€ 1,267","$2,324"
PADR,PADR/E,Online,$249,£210,€ 265,$405
PAER,PAER/E,Online,$897,£622,€ 789,"$1,211"
PAFO,PAFO/E,Online,$545,£274,€ 345,$530
PAI,PAI/E,Online,"$1,961","£1,171","€ 1,486","$2,287"
,,,,,,
PALO,PALO/E(MEDIUM),Online,$809,£511,€ 593,$809
,,,,,,
PAM,PAM/E,Online,"$1,885",£961,"€ 1,219","$1,885"
PAN,PAN/E,Online,"$2,737","£1,482","€ 1,882","$3,192"
PAPA,PAPA/E,Online,$277,£210,€ 265,$404
PAPQ,PAPQ/E,Online,$611,£421,€ 533,$933
PAPR,PAPR/E,Online,$703,£533,€ 673,"$1,039"
PAPT,PAPT/E,Online,$714,£390,€ 578,$714
PARH,PARH/E,Online,$642,£352,€ 447,$687
PAT,PAT/E,Online,"$6,940","£3,545","€ 4,480","$6,940"
PATH,PATH/E,Online,"$3,213","£1,634","€ 2,076","$3,213"
PBAF,PBAF/E,Online,$587,£464,€ 587,$901
PBR,PBR/E,Online,"$3,382","£2,016","€ 2,558","$4,334"
PC,PC/E,Online,"$2,956","£1,511","€ 1,910","$2,956"
PCA,PCA/E,Online,"$3,350","£1,712","€ 2,162","$3,350"
PCE,PCE/E,Online,"$8,393","£4,543","€ 5,770","$9,790"
,,,,,,
PCHJ,PCHJ/E(MEDIUM),Online,$859,£549,€ 670,$859
,,,,,,
PCMR,PCMR/E,Online,"$1,357",£811,"€ 1,032","$1,584"
PCN,PCN/E,Online,"$2,361","£1,460","€ 1,853","$2,859"
PD,PD/E,Online,"$5,084","£2,600","€ 3,282","$5,084"
PDE,PDE/E,Online,"$1,677","£1,243","€ 1,576","$2,429"
PDI,PDI/E,Online,$348,£163,€ 168,$348
PDS,PDS/E,Online,"$2,948","£1,507","€ 1,905","$2,948"
PECH,PECH/E,Online,$601,£464,€ 588,$905
PED,PED/E,Online,"$1,337",£828,"€ 1,051","$1,620"
PEDI,PEDI/E,Online,"$1,270",£755,€ 962,"$1,479"
PEN,PEN/E,Online,"$2,513","£1,284","€ 1,621","$2,513"
PEPS,PEPS/E,Online,$695,£447,€ 565,$870
PER,PER/E,Online,"$2,377","£1,214","€ 1,533","$2,377"
PERE,PERE/E,Online,$758,£606,€ 769,"$1,184"
PETR,PETR/E,Online,"$1,703","£1,016","€ 1,288","$1,985"
PFI,PFI/E,Online,$574,£298,€ 374,$574
PHAR,PHAR/E,Online,$669,£434,€ 503,$669
PHC3,PHC3/E,Online,"$1,486",£846,"€ 1,075","$1,654"
PHEN,PHEN/E,Online,"$1,531",£832,"€ 1,056","$1,788"
PHIB,PHIB/E,Online,"$1,014",£468,€ 595,"$1,178"
PHIL,PHIL/E,Online,$541,£443,€ 559,$861
PHIN,PHIN/E,Online,"$1,118",£509,€ 643,"$1,303"
PHN,PHN/E,Online,"$1,051",£805,"€ 1,021","$1,568"
PHOR,PHOR/E,Online,$943,£553,€ 701,"$1,075"
PHP,PHP/E,Online,"$1,413",£785,€ 996,"$1,534"
PHPP,PHPP/E,Online,$948,£569,€ 723,"$1,110"
PHPR,PHPR/E,Online,$385,£311,€ 396,$607
PI,PI/E,Online,"$4,803","£2,453","€ 3,099","$4,803"
PIM,PIM/E,Online,"$3,443","£1,866","€ 2,371","$4,019"
PIN,PIN/E,Online,"$2,251","£1,393","€ 1,768","$2,726"
PIP,PIP/E,Online,"$3,666","£1,871","€ 2,366","$3,666"
PIQ,PIQ/E,Online,$326,£172,€ 215,$326
PITS,PITS/E,Online,"$1,192",£611,€ 772,"$1,192"
PIUZ,PIUZ/E,Online,$360,£187,€ 345,$360
